"gene","corr_estimate","pvalue"
"CFD",-0.362621913682549,0
"AHNAK",-0.332683419602533,0
"ADIRF",-0.272434254833836,0
"CLEC3B",-0.265399408605553,1.97626258336499e-323
"COL1A1",-0.258397400903977,4.37021880100705e-306
"SPARC",-0.253544527768543,2.15207928405948e-294
"KRT15",-0.253465511175146,3.32011052325656e-294
"NFIB",-0.250768463066892,8.09520515381087e-288
"DCD",-0.245475488075585,1.6534696446257e-275
"APOD",-0.244615794864577,1.54838833420578e-273
"ID4",-0.238375550534633,1.85173465265499e-259
"TNXB",-0.234872792538384,9.80263312094601e-252
"TIMP3",-0.234637762130902,3.1991149206843e-251
"CXCL14",-0.233528721532608,8.34140742640498e-249
"CPE",-0.231115107678322,1.36658057329193e-243
"PTPRF",-0.225672652371949,4.71133437656304e-232
"AZGP1",-0.225616387822367,6.17775327380766e-232
"SCEL",-0.225424978117243,1.55221841221881e-231
"LOR",-0.22401774537623,1.32163765613176e-228
"TPPP3",-0.22275460727078,5.41992146731459e-226
"CXCL12",-0.221939795620552,2.5753755500024e-224
"CCDC80",-0.218585363568068,1.74950317214184e-217
"DSP",-0.21792946233864,3.67659640961445e-216
"CLDN1",-0.217864238559187,4.97418455990841e-216
"FASN",-0.215489625891186,2.79748381164048e-211
"CRYAB",-0.215419502143419,3.85631184495945e-211
"NFIX",-0.213276725203917,6.63792137795763e-207
"GSN",-0.212044432225755,1.72614063833081e-204
"ANXA2",-0.211010307268242,1.78632483516298e-202
"PPL",-0.210722730454283,6.46195254397788e-202
"SELENOP",-0.209429223083489,2.05008066580538e-199
"COL6A1",-0.208303370631261,2.98749974547802e-197
"MYL9",-0.207838925364408,2.31274730449357e-196
"SLC12A2",-0.207592692924159,6.83083318995269e-196
"ALDH3A2",-0.205902060950444,1.11557465837719e-192
"SFRP2",-0.205611831915297,3.94643022175e-192
"COL3A1",-0.205455359116398,7.79260236875818e-192
"TRIM29",-0.204875947833009,9.63157650296135e-191
"CD9",-0.204382125810218,8.16132596869944e-190
"DCN",-0.202672443328361,1.27671189923592e-186
"FABP4",-0.202435200080394,3.5241597447058e-186
"DHCR24",-0.201889538416768,3.62369240829838e-185
"SLIT3",-0.201509893314651,1.82630915681693e-184
"KRT10",-0.201494354791848,1.9511620338099e-184
"MUCL1",-0.201439538090017,2.46370691724951e-184
"MFAP4",-0.200036442172118,9.42370379843728e-182
"PLA2R1",-0.198314674977216,1.30848846615758e-178
"FBLN1",-0.196499509881476,2.50062116439685e-175
"DGAT2",-0.195359508969978,2.76826024939893e-173
"KLF5",-0.194417649734438,1.32255541175988e-171
"MFAP5",-0.193693708299312,2.54781862574139e-170
"AQP1",-0.19358168981998,4.02256857867135e-170
"CKB",-0.192412079616283,4.65583697474176e-168
"TACC2",-0.192044073709489,2.0628924365199e-167
"PEBP1",-0.190891800203202,2.13841224421955e-165
"CAV1",-0.188560545428228,2.33487801275757e-161
"AHNAK2",-0.188197556601551,9.82305184296992e-161
"MYH14",-0.188007029202127,2.08569207876864e-160
"KRT77",-0.187891332588653,3.29342835606914e-160
"TACSTD2",-0.18750271005964,1.52442538658593e-159
"CD36",-0.187399080359036,2.29249040828892e-159
"TNS1",-0.187198668090474,5.04318197703653e-159
"EPS8L2",-0.185914643165289,7.71114405736507e-157
"SERPINA12",-0.184867100219671,4.54280218615765e-155
"KRT7",-0.184523930908591,1.71755359095013e-154
"SYT8",-0.184444973772435,2.33152727383976e-154
"KIAA1522",-0.184297452140996,4.12541793753746e-154
"SPINT1",-0.183216259989355,2.66285556186861e-152
"JUP",-0.182495355008656,4.22481572114606e-151
"COL1A2",-0.182131017136243,1.70054728036186e-150
"SCGB1D2",-0.181811954114147,5.74325493901251e-150
"SCGB2A2",-0.181404393595568,2.70956168056837e-149
"CAMSAP3",-0.181130030212899,7.68323329613535e-149
"FLG2",-0.181072281566053,9.56587833469202e-149
"C19orf33",-0.180616262035659,5.38514451087782e-148
"ATP1B1",-0.180287655296983,1.86525238658971e-147
"FXYD3",-0.17949616167641,3.68130548164624e-146
"KLF4",-0.1794941646509,3.70904655895534e-146
"EPHB6",-0.179457519520599,4.25680552892014e-146
"SOX9",-0.179004456018122,2.33139918817501e-145
"NECTIN4",-0.178917853889639,3.22522237088415e-145
"PERP",-0.178874580047534,3.79279792012705e-145
"NCKAP1",-0.178139627154459,5.91362500399124e-144
"KLK11",-0.177305603656121,1.31591749360606e-142
"CLDN4",-0.17706903594528,3.16361975378083e-142
"CAVIN1",-0.176712894074869,1.18216283908136e-141
"KRT2",-0.176481132145556,2.78339135691641e-141
"ANO1",-0.17632583718921,4.93717673495718e-141
"HSPA1B",-0.176229500297111,7.0431856385545e-141
"PALMD",-0.176187795251755,8.21362778465591e-141
"ERBB2",-0.175909246430993,2.29105644656891e-140
"CTNND1",-0.175510897687749,9.90469542148856e-140
"CDHR1",-0.175330987894095,1.91643683439961e-139
"HS3ST6",-0.175317563458891,2.01312803532925e-139
"EPHB3",-0.175284626448175,2.27149869330252e-139
"C5orf46",-0.174993185746195,6.60508663779019e-139
"C1orf116",-0.174777558818036,1.45321133148089e-138
"PIP",-0.173726144559288,6.69476415087979e-137
"RAPGEFL1",-0.173456488712387,1.7808848329703e-136
"AQP5",-0.172843991585409,1.6336547882043e-135
"PPDPF",-0.171727236631896,9.09582348680214e-134
"TCEA3",-0.170582587906009,5.44140933191458e-132
"PLIN4",-0.170481955598712,7.78619224724521e-132
"DMKN",-0.170064063837856,3.43952292799038e-131
"NDRG2",-0.169919021825678,5.75485169089227e-131
"GPD1",-0.1692100755413,7.07539401904296e-130
"SCD",-0.169200031195405,7.33086414148013e-130
"TFCP2L1",-0.168903352458428,2.08795986512886e-129
"PAM",-0.168447969153052,1.03708980965681e-128
"MGST1",-0.167681783380268,1.52239330980738e-127
"PLIN1",-0.166857418932773,2.70126319790725e-126
"TNKS1BP1",-0.166637219864859,5.80904612889784e-126
"GAN",-0.165640711558367,1.83323610279732e-124
"C6orf132",-0.16563828223066,1.84867867100875e-124
"KRT23",-0.165305343060445,5.82916300633551e-124
"MYLK",-0.165223790364181,7.71989762107667e-124
"DST",-0.164230030905316,2.34000663646431e-122
"TPM1",-0.163779476884256,1.09107575820654e-121
"EPPK1",-0.163778360554887,1.09523970427084e-121
"HEBP2",-0.162694120719118,4.37152557469132e-120
"SDC1",-0.16249197949163,8.66770316760865e-120
"TIMP2",-0.162253429391564,1.94186431972587e-119
"CHP2",-0.162062855138731,3.69565960797323e-119
"ACSL1",-0.161756629516999,1.03763093250776e-118
"CASZ1",-0.161723145411276,1.16148509933646e-118
"MT1X",-0.161670350453535,1.38741058883814e-118
"PGRMC2",-0.161427354218707,3.14157887865472e-118
"LTBP4",-0.161222758123724,6.24547557020218e-118
"GPC1",-0.161149422121354,7.98793329495396e-118
"PBX1",-0.160196225476908,1.93570716619258e-116
"EXPH5",-0.159950663428104,4.38625480210409e-116
"PHGDH",-0.159509100390762,1.90311348318538e-115
"LAMB2",-0.159208193680279,5.16116719847476e-115
"DHCR7",-0.159054115816707,8.59560803905807e-115
"AKR1C1",-0.158955350042507,1.19168351178082e-114
"OLFM2",-0.158901523007378,1.4237985842519e-114
"ACTA2",-0.158805907557842,1.95285725024835e-114
"PPP1R1B",-0.15871283627862,2.65557190809005e-114
"WFDC5",-0.158676523128367,2.993767004814e-114
