"gene","corr_estimate","pvalue"
"CXCL9",1,0
"LYZ",0.665851343998674,0
"GBP5",0.609098424264202,0
"WARS",0.566339237961056,0
"PFN1",0.553849656780802,0
"HLA-DPB1",0.553672435787816,0
"HLA-DRA",0.551407115133209,0
"CORO1A",0.549953117642901,0
"IDO1",0.543646516437413,0
"IFI30",0.541765991804846,0
"HLA-DQA1",0.536240916097354,0
"HLA-DPA1",0.531644046357008,0
"IL32",0.531607271036642,0
"MMP9",0.523751495908447,0
"COTL1",0.521320173414777,0
"LAPTM5",0.519285367907775,0
"GBP1",0.515843385131314,0
"CD74",0.514990723335699,0
"LCP1",0.509722846437386,0
"SOD2",0.498928308268706,0
"PSAP",0.49481971901437,0
"IL2RG",0.490643424409574,0
"LTB",0.487948129061642,0
"CYBA",0.486100787504887,0
"UBD",0.485049270272045,0
"IRF1",0.478335159389497,0
"ACTB",0.474765530112284,0
"CCL5",0.469894662662746,0
"CTSB",0.469452406812861,0
"RNF213",0.467132933267045,0
"ARPC1B",0.465410531463593,0
"CTSS",0.462984905696991,0
"SRGN",0.459550842087985,0
"CTSZ",0.456333007296982,0
"LAP3",0.4533505496166,0
"S100A9",0.453095776771303,0
"SLAMF7",0.451516369982037,0
"LSP1",0.450883699285941,0
"EFHD2",0.450091088610526,0
"CAPG",0.448302648238856,0
"JAK3",0.447164392034886,0
"FCER1G",0.444556282681116,0
"STK17B",0.442024093530066,0
"GNLY",0.436998307030806,0
"LIMD2",0.430759046965951,0
"ICAM1",0.429194087498321,0
"RAC2",0.426660359918625,0
"TRBC2",0.422697931314782,0
"TRBC1",0.420009037162222,0
"IKZF1",0.41655131100669,0
"GZMB",0.414510799789112,0
"TMSB4X",0.411674445679498,0
"MMP1",0.411261094940061,0
"TIMP1",0.409138444988396,0
"WIPF1",0.407630302038753,0
"ITGB2",0.406840006513016,0
"S100A8",0.402729536412209,0
"HLA-DMB",0.400869998935025,0
"TAPBP",0.397380958387993,0
"SPOCK2",0.396500672802908,0
"HCLS1",0.39402291375382,0
"B2M",0.393683223794826,0
"CTSH",0.392271369257108,0
"SEPTIN1",0.391886478395774,0
"ACP5",0.388872670122088,0
"SBNO2",0.388449313235699,0
"ARHGAP45",0.388136118909196,0
"FGL2",0.387277997803669,0
"CYBB",0.38598122002671,0
"SPI1",0.384958756559831,0
"TNC",0.383701109285905,0
"CNDP2",0.381242900871716,0
"SLAMF8",0.380748873814939,0
"VOPP1",0.378776636370172,0
"IL4I1",0.374771508577226,0
"RASSF4",0.374759484047557,0
"IRF8",0.373882665054339,0
"SQOR",0.372202210924613,0
"SOCS1",0.370313570462523,0
"CD3D",0.368455628739707,0
"PLEK",0.367662601886543,0
"TRAC",0.367387879533828,0
"TYMP",0.365963574266421,0
"TYROBP",0.364311882640113,0
"CCL18",0.363129124640414,0
"ITGAX",0.361699035248304,0
"APOBR",0.360386289739109,0
"HIST1H1E",0.357781638094247,0
"CXCL11",0.356143039224978,0
"PSMB10",0.355380959991961,0
"LCP2",0.355363602597063,0
"BST2",0.354856540024449,0
"HLA-DMA",0.354704206612829,0
"SMAP2",0.354486682752717,0
"HLA-A",0.354472044244029,0
"STAT1",0.353218098669141,0
"EHBP1L1",0.35250926419142,0
"FYB1",0.352235482370015,0
"FBP1",0.351885787290197,0
"CTSD",0.351536269113229,0
"ARHGAP9",0.347930271901097,0
"CD40",0.347920472044135,0
"PCBP1",0.347498927312814,0
