"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KRT5",0,1.76006279593096,0.998,0.887,0
"VIM",2.15023404181074e-289,-1.05397666532435,0.844,0.995,3.4913350136881e-285
"HLA-DPB1",2.69042408793899e-288,-1.04375859865303,0.782,0.992,4.36844159158654e-284
"KRT14",9.22753931660056e-288,2.02775973032617,0.983,0.657,1.49827555883643e-283
"HLA-DRA",6.2905832375847e-282,-1.04473900965571,0.863,0.997,1.02140200028663e-277
"HLA-DPA1",2.61873920517171e-272,-1.03878173810608,0.637,0.982,4.2520468474373e-268
"CD74",7.60870647619877e-251,-1.0487113526133,0.934,0.999,1.23542567054039e-246
"TMSB4X",2.40448480894979e-246,-1.03434682208521,0.991,0.999,3.90416198429177e-242
"CYBA",4.52315033881318e-245,-1.00310966628124,0.478,0.915,7.34423920513097e-241
"IL32",2.23477626337057e-236,-1.06550281785077,0.495,0.924,3.62860621883479e-232
"PKP1",1.05593030153139e-229,1.18274018835905,0.762,0.25,1.71451403059652e-225
"S100A14",1.43694111706478e-229,1.45032399484644,0.733,0.237,2.33316129177809e-225
"DSP",3.46397507707762e-228,1.1882012203203,0.755,0.24,5.62445633265093e-224
"HLA-DQA1",9.24112956474799e-226,-0.986079517261099,0.509,0.938,1.50048220742813e-221
"DSG1",2.03939633882909e-224,1.12565286453059,0.776,0.277,3.31136783535679e-220
"TRIM29",9.61631758203676e-221,1.21430949856,0.752,0.24,1.56140148579531e-216
"COTL1",8.38438001058056e-220,-0.984465733628958,0.491,0.921,1.36137178231797e-215
"FGL2",7.24328721897787e-216,-0.851271090789682,0.418,0.899,1.17609254574544e-211
"CTSZ",3.13835759978762e-215,-1.04902627637843,0.49,0.922,5.09575123477516e-211
"JUP",2.9259186197331e-202,1.10404033184342,0.65,0.168,4.75081406286064e-198
"LAPTM5",5.25629996515308e-199,-0.995590741590721,0.491,0.902,8.53465425341906e-195
"KRTDAP",6.52732053888676e-199,1.27374268620861,0.832,0.393,1.05984103589904e-194
"TIMP1",2.25629243616328e-194,-1.05308107022815,0.397,0.87,3.66354202859831e-190
"SDC1",7.06957870367559e-193,1.08556389472916,0.54,0.099,1.14788749411581e-188
"LYPD3",1.23886021549253e-192,1.32196506365613,0.632,0.173,2.01153733189522e-188
"B2M",1.2526491308504e-188,-0.769700136843119,0.991,1,2.0339263937618e-184
