"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.42717230670052e-33,0.575995746662198,0.967,0.931,1.53068996743896e-28,"0","CXCL9"
4.66226765691049e-29,0.351111727816732,0.958,0.882,7.57012399452556e-25,"0","TXN"
4.80062309501769e-25,0.403192430458008,0.595,0.412,7.79477171938022e-21,"0","FSCN1"
3.93982076358416e-24,0.445724658546942,0.99,0.979,6.3970869738316e-20,"0","KRT5"
2.89707550675469e-23,0.391351110224595,0.617,0.446,4.70398150031758e-19,"0","LAMP3"
9.32226932589733e-22,0.361221594748726,0.742,0.644,1.51365687044595e-17,"0","MARCKSL1"
2.3554572719498e-21,0.437040378717383,0.965,0.909,3.82455597246488e-17,"0","KRT14"
6.15342752449332e-20,0.447312886554312,0.283,0.138,9.9913202715198e-16,"0","CCL22"
2.78921502161679e-18,0.479295696368264,0.968,0.938,4.52884843059918e-14,"0","KRT1"
1.14856100007316e-17,0.274119860989802,0.275,0.134,1.86491849581879e-13,"0","CCL17"
2.42713679780953e-17,0.288961731177791,0.373,0.214,3.94094201860333e-13,"0","APCDD1"
6.06283925426902e-17,0.433649086707075,0.69,0.551,9.84423209715661e-13,"0","TRIM29"
1.01334626845245e-15,0.253955065804286,0.752,0.606,1.64537033608624e-11,"0","CDKN1A"
1.72635367520668e-15,0.39699755351954,0.809,0.698,2.80308046243308e-11,"0","KRTDAP"
1.84177178166792e-15,0.294593937445838,0.58,0.448,2.99048484189421e-11,"0","CSF2RA"
1.38559151135373e-14,0.358781086700853,0.559,0.424,2.24978493698506e-10,"0","CXCL11"
4.17600790802119e-14,0.407677273449829,0.698,0.577,6.780584040254e-10,"0","DSP"
3.85884951832783e-13,0.360161726922295,0.713,0.612,6.2656139629089e-09,"0","DSG1"
4.38204309087525e-13,0.272023953100959,0.773,0.685,7.11512336665415e-09,"0","TRAF1"
7.37693160474601e-13,0.272607893848635,0.751,0.689,1.19779238466261e-08,"0","SOCS1"
1.01132196302703e-12,0.292312359936266,0.729,0.609,1.64208347136699e-08,"0","CALML5"
1.08417798951508e-12,0.444703499626551,0.997,0.992,1.76037980157564e-08,"0","KRT10"
1.38935827882395e-11,0.288218378646433,0.682,0.573,2.25590103732645e-07,"0","PKP1"
1.83639971158688e-11,0.276809348530346,0.795,0.68,2.98176221170362e-07,"0","FABP5"
8.74038137880779e-11,0.311918314140466,0.834,0.821,1.41917572447702e-06,"0","UBD"
2.90516513013993e-10,0.251057632406477,0.578,0.468,4.71711662180821e-06,"0","AQP3"
4.74080532081336e-10,0.440674462202943,0.605,0.527,7.69764559940465e-06,"0","PERP"
1.01733604750442e-09,0.262421612314754,0.436,0.33,1.65184854033293e-05,"0","DSC3"
1.30039366984237e-09,0.288971144376286,0.527,0.414,2.11144920172306e-05,"0","COL17A1"
4.4079322399651e-09,0.297747715785761,0.569,0.478,7.15715957803133e-05,"0","JUP"
8.49979647953989e-09,0.307936853355151,0.528,0.428,0.000138011195438289,"0","APOC1"
1.31009265964876e-08,0.303120969928232,0.698,0.578,0.000212719745147169,"0","MMP1"
1.82019779315344e-08,0.279670325884294,0.58,0.492,0.000295545515674324,"0","CASP14"
4.31598059315914e-08,0.255959530741399,0.71,0.626,0.000700785768911249,"0","FLG"
6.20808575000869e-08,0.321411637423038,0.65,0.574,0.00100800688322891,"0","LIPA"
9.83952875808975e-08,0.344033182635341,0.455,0.346,0.00159764428445103,"0","CHIT1"
7.26079045833542e-07,0.258907346217221,0.773,0.75,0.0117893454671992,"0","SLAMF7"
1.27754881786872e-06,0.267417011042191,0.873,0.84,0.0207435601557344,"0","KRT2"
2.39573787046463e-06,0.278093944828679,0.426,0.347,0.0388995958027342,"0","KRT15"
5.81963163829217e-06,0.350551359305649,0.676,0.622,0.09449335891095,"0","LOR"
1.63171783209609e-05,0.278664352415604,0.305,0.235,0.264942024397443,"0","CXCL10"
1.69146314775746e-05,0.520869583279472,0.631,0.574,0.274642871301378,"0","CCL21"
1.0384256708948e-101,0.800038777544798,0.844,0.483,1.68609176183189e-97,"1","RIPOR2"
3.15256518528232e-97,0.714722236037083,0.97,0.874,5.1188200913429e-93,"1","TXNIP"
1.17999050365217e-92,0.621870509082308,0.997,0.97,1.91595058078002e-88,"1","NOP53"
5.00228473098028e-86,0.579050752388209,0.998,0.977,8.12220971769268e-82,"1","EEF1G"
5.23744514184368e-86,1.20838650645035,0.947,0.718,8.50403967681158e-82,"1","CCL19"
1.16481250005005e-84,1.3310733201585,0.76,0.407,1.89130605633126e-80,"1","ACTA2"
2.77678394635526e-84,0.563627864156056,1,0.989,4.50866409369703e-80,"1","DDX17"
1.14887547731083e-79,0.913566447790833,0.829,0.587,1.8654291125096e-75,"1","SELL"
4.66109084184757e-79,0.921498041531774,0.94,0.736,7.56821319990789e-75,"1","C3"
1.47943112528629e-76,0.704439027309231,0.876,0.573,2.40215231812735e-72,"1","SIGIRR"
4.14170475997361e-74,0.620483914521349,0.831,0.521,6.72488601876915e-70,"1","IL16"
4.28708210412583e-74,1.04039215960625,0.934,0.813,6.96093521246911e-70,"1","IGFBP7"
9.58970954360191e-74,0.704460316732923,0.876,0.633,1.55708113859464e-69,"1","TBC1D10C"
3.77548183846738e-73,0.635368017206723,0.853,0.547,6.13024986111948e-69,"1","TMC8"
5.07301964878197e-72,1.0352402121457,0.682,0.347,8.23706200372729e-68,"1","TAGLN"
5.22665528772755e-72,0.628301198529839,0.836,0.559,8.48652019068322e-68,"1","MAP4K1"
1.52037337174061e-71,0.605984701397873,0.891,0.673,2.46863024369524e-67,"1","ARHGAP4"
2.3875862848401e-70,0.649288367914779,0.912,0.762,3.87672385069486e-66,"1","CLEC2D"
1.56345500291911e-69,0.594243222122084,0.937,0.789,2.53858188823977e-65,"1","AKNA"
3.57375505648904e-69,0.621026478922635,0.969,0.87,5.80270608522125e-65,"1","IKZF1"
5.03954737942793e-67,0.913725660192455,0.507,0.179,8.18271307997713e-63,"1","ACKR1"
3.30109648081046e-66,0.68457655825526,0.982,0.925,5.35999035589195e-62,"1","ARHGEF1"
3.62877554378409e-66,0.57997386267782,0.972,0.9,5.89204285044222e-62,"1","TLE5"
4.52259969270809e-66,0.671310739474414,0.98,0.917,7.34334512105013e-62,"1","LIMD2"
9.83132193910967e-66,0.590587729374623,0.82,0.496,1.59631174325324e-61,"1","TGFBR2"
1.28983362742098e-65,0.63773880674412,0.935,0.782,2.09430286084344e-61,"1","CD37"
1.13051862453962e-64,0.664989886932224,0.831,0.596,1.83562309066498e-60,"1","ITGA4"
1.25338050795678e-64,0.671452174772397,0.919,0.768,2.03511393076942e-60,"1","SKAP1"
4.24374466007181e-63,0.534141913604048,0.962,0.843,6.89056820455859e-59,"1","ANXA6"
7.34609976722867e-62,0.986255509751411,0.866,0.633,1.19278621920492e-57,"1","CXCL12"
1.96956275648023e-61,0.575954524200405,0.816,0.541,3.19797904769695e-57,"1","ATP2A3"
1.05234043798537e-60,0.541283075507964,0.742,0.423,1.70868516915684e-56,"1","LIME1"
1.68522730598941e-60,0.45916053214319,0.465,0.151,2.73630357673501e-56,"1","S1PR1"
1.74605901189281e-60,0.488476401346139,0.604,0.26,2.83507601761036e-56,"1","RASGRP2"
7.26432947457253e-59,0.59236470893735,0.914,0.734,1.17950917678634e-54,"1","CD52"
1.5321028834604e-58,0.698158240508019,0.689,0.395,2.48767545187465e-54,"1","FCMR"
5.89268921707476e-57,0.496755620401938,0.583,0.255,9.56795948176429e-53,"1","TRAJ13"
1.45934079603528e-56,0.546187137288407,0.533,0.216,2.36953165052248e-52,"1","KLRG1"
3.42417916065561e-56,0.549675269202673,0.816,0.531,5.55983970315651e-52,"1","LCK"
4.66920826751948e-56,0.488343844826961,0.97,0.917,7.58139346397138e-52,"1","EIF4B"
7.80732104183726e-56,0.452772242433141,0.99,0.962,1.26767471756312e-51,"1","GNAS"
1.28858880470188e-55,0.503426850327521,0.719,0.405,2.09228164219445e-51,"1","CARD11"
1.29444645465344e-55,0.517992459554379,0.978,0.878,2.10179270842079e-51,"1","ZFP36L2"
1.71413420380342e-55,0.464579582032739,0.583,0.255,2.78323970671562e-51,"1","TRAJ22"
2.62489876309834e-55,0.465112988604863,0.98,0.93,4.26204812164278e-51,"1","IFITM2"
8.6096327755356e-55,0.519452208709867,0.641,0.329,1.39794607376371e-50,"1","CYFIP2"
3.43795741348729e-54,0.40162844471376,0.997,0.983,5.58221145227931e-50,"1","CIRBP"
4.90102553128936e-54,0.600174174186655,0.944,0.847,7.95779515515453e-50,"1","ARHGAP45"
6.60294176446862e-54,0.354397597822914,1,0.998,1.07211965429677e-49,"1","UBA52"
