"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.20982808858953e-98,0.947388993453272,0.987,0.786,1.96439786744281e-94,"Cyto_0","CCL18"
3.20759353323196e-67,-1.11841007251236,0.601,0.84,5.20816961990873e-63,"Cyto_0","CCL19"
2.81032800771852e-44,0.307729636242406,0.3,0.078,4.56312958613256e-40,"Cyto_0","CCL4"
6.62553700962986e-41,-0.791912295677448,0.832,0.919,1.0757884442536e-36,"Cyto_0","CXCL14"
2.32708122308635e-39,0.269539410443127,0.25,0.059,3.7784817819253e-35,"Cyto_0","IL24"
6.7697659006753e-36,-0.808505612761052,0.535,0.749,1.09920688929265e-31,"Cyto_0","CXCL12"
6.68102007049639e-32,0.376673482892947,0.48,0.234,1.0847972288465e-27,"Cyto_0","CXCL13"
6.59229048451167e-31,0.360232303718931,0.898,0.686,1.07039020597016e-26,"Cyto_0","IL4I1"
3.01212551293268e-28,-0.370883976252403,0.371,0.609,4.89078819534879e-24,"Cyto_0","IL6ST"
3.49334907584908e-28,-0.432862193904492,0.412,0.622,5.67215089445616e-24,"Cyto_0","IL10RA"
2.43510594465873e-18,0.267885632384043,0.406,0.23,3.95388152234238e-14,"Cyto_0","IL1RN"
1.42623353457292e-17,-0.620181088932821,0.149,0.304,2.31577539008604e-13,"Cyto_0","CXCL10"
4.26016152385539e-17,-0.295425367412649,0.033,0.162,6.91722426628399e-13,"Cyto_0","CCL14"
9.01651780866189e-15,-0.300208948331105,0.513,0.631,1.46401199659243e-10,"Cyto_0","IL16"
5.30588867029249e-09,-0.256033944549306,0.638,0.684,8.61517143395391e-05,"Cyto_0","IL2RB"
1.18958354842375e-07,-0.265436231785973,0.186,0.284,0.00193152680757564,"Cyto_0","CCL13"
2.8408778775822e-06,0.366908093332871,0.255,0.174,0.0461273340983021,"Cyto_0","CCL22"
1.69637241831175e-276,1.63573661158526,0.819,0.095,2.75439989561279e-272,"Cyto_1","CXCL10"
1.64356191417645e-209,1.59321341217421,1,0.929,2.66865148004831e-205,"Cyto_1","CXCL9"
9.8333886050489e-145,0.783090945609786,1,0.973,1.59664730780179e-140,"Cyto_1","IL32"
1.23751630571352e-144,1.27291529096823,0.843,0.367,2.00935522558705e-140,"Cyto_1","CXCL11"
5.51631213141525e-110,0.820992561874511,0.966,0.614,8.95683600777894e-106,"Cyto_1","IL7R"
3.07570071144344e-86,0.692055716420615,0.856,0.478,4.99401524517072e-82,"Cyto_1","IL10RA"
1.09043680535001e-85,0.613231190276295,0.713,0.287,1.77054224084681e-81,"Cyto_1","IL18BP"
7.50417707755948e-77,0.492301266754229,0.527,0.151,1.21845323208333e-72,"Cyto_1","TNFAIP3"
4.18719862583496e-74,0.411886464564039,0.406,0.084,6.79875440876823e-70,"Cyto_1","IL18RAP"
2.3461867836995e-72,0.608243224039907,0.982,0.86,3.80950348069288e-68,"Cyto_1","TNFAIP2"
7.02801358455881e-70,0.601470966713676,0.922,0.596,1.14113856572481e-65,"Cyto_1","IL2RB"
3.96560536958744e-67,0.655621880735694,0.821,0.475,6.43895343859913e-63,"Cyto_1","TNF"
1.86082656902624e-66,0.528992688958101,0.942,0.668,3.02142410012791e-62,"Cyto_1","TNFRSF1B"
1.50356160731784e-65,0.575266465521107,0.839,0.516,2.44133298180198e-61,"Cyto_1","IFNGR2"
9.33038921341188e-64,0.613004919415077,0.939,0.684,1.51497529658169e-59,"Cyto_1","IL4I1"
1.55111717994848e-61,0.532771422424302,0.971,0.791,2.51854896508234e-57,"Cyto_1","CCL5"
7.85957232354276e-57,0.482072287144102,0.821,0.488,1.27615875817364e-52,"Cyto_1","IL21R"
1.16942324216907e-53,0.460500113959868,0.44,0.141,1.89879251830991e-49,"Cyto_1","IFNG"
1.36349089706525e-52,0.457541542787157,0.733,0.393,2.21390016956485e-48,"Cyto_1","TNFSF13B"
5.31342185837394e-49,0.416522983056488,0.951,0.764,8.62740307144176e-45,"Cyto_1","TNFSF10"
3.73766924411802e-48,0.439543283063538,0.686,0.361,6.06885355167443e-44,"Cyto_1","TNFRSF4"
1.03588008578505e-45,0.411980633817987,0.608,0.284,1.68195849528919e-41,"Cyto_1","IL2RA"
2.169315466343e-43,0.356567678154967,0.437,0.161,3.52231752270113e-39,"Cyto_1","IL12RB2"
3.43787311834239e-43,0.393388813593785,0.495,0.205,5.58207458225253e-39,"Cyto_1","CXCL16"
6.38303339072455e-43,0.319073522984824,0.384,0.127,1.03641313165194e-38,"Cyto_1","CXCR6"
2.29804750563666e-40,0.378434078459884,0.583,0.285,3.73133973490224e-36,"Cyto_1","TNFRSF14"
5.4161519973848e-40,0.336420885607253,0.377,0.129,8.7942059981537e-36,"Cyto_1","CCL8"
7.17753117781592e-40,0.573743217401516,0.762,0.529,1.16541573734197e-35,"Cyto_1","TNFRSF6B"
2.89467701029938e-39,0.792500949794849,0.888,0.742,4.7000870616231e-35,"Cyto_1","CCL19"
1.54127008364888e-38,0.40561528707097,0.7,0.417,2.50256023482069e-34,"Cyto_1","TNFSF13"
2.20950451648573e-38,0.399644322393862,0.791,0.517,3.58757248341788e-34,"Cyto_1","TNFAIP8"
4.14534870897375e-38,-0.880235625830973,0.529,0.741,6.73080269876068e-34,"Cyto_1","CXCL12"
5.76158546750244e-37,0.349379273209224,0.986,0.882,9.35508632358372e-33,"Cyto_1","IL2RG"
5.24621070332316e-36,0.389922100533907,0.796,0.534,8.51827231898582e-32,"Cyto_1","CXCR4"
5.43813729497336e-35,-0.775165507302441,0.812,0.921,8.82990352584824e-31,"Cyto_1","CXCL14"
