"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COL1A1",0,1.67301713287685,0.982,0.777,0,"0","COL1A1"
"COL1A2",0,1.46651214607934,0.999,0.879,0,"0","COL1A2"
"COL3A1",0,1.33966090286914,0.991,0.875,0,"0","COL3A1"
"DCN",0,1.3026259781367,0.979,0.796,0,"0","DCN"
"MMP2",0,1.21644716971552,0.891,0.545,0,"0","MMP2"
"FSTL1",0,1.10527645719962,0.916,0.583,0,"0","FSTL1"
"CLEC3B",0,1.07972937740655,0.774,0.446,0,"0","CLEC3B"
"FBN1",0,1.06226205910874,0.949,0.634,0,"0","FBN1"
"TNXB",0,1.05592544466532,0.847,0.494,0,"0","TNXB"
"PI16",0,1.01789365863783,0.761,0.304,0,"0","PI16"
"FBLN1",0,1.00836431024481,0.833,0.412,0,"0","FBLN1"
"CTSK",0,1.00745412544775,0.819,0.452,0,"0","CTSK"
"C1R",0,0.847957456402245,0.96,0.757,0,"0","C1R"
"CCN5",0,0.82794587647038,0.699,0.209,0,"0","CCN5"
"IGFBP5",0,0.8230616384557,0.96,0.726,0,"0","IGFBP5"
"LUM",0,0.805741992907034,0.762,0.346,0,"0","LUM"
"COL6A2",0,0.786281865170201,0.929,0.663,0,"0","COL6A2"
"PLTP",0,0.774496293478035,0.771,0.424,0,"0","PLTP"
"CXCL14",0,0.770889513839614,0.947,0.76,0,"0","CXCL14"
"COL6A1",0,0.765725761915016,0.812,0.489,0,"0","COL6A1"
"FBLN2",0,0.759742110139966,0.787,0.395,0,"0","FBLN2"
"AEBP1",0,0.704916216068283,0.767,0.399,0,"0","AEBP1"
"MFAP5",0,0.691870415986979,0.645,0.273,0,"0","MFAP5"
"TIMP2",0,0.674549259715577,0.773,0.404,0,"0","TIMP2"
"PLA2G2A",0,0.668591665959153,0.533,0.219,0,"0","PLA2G2A"
"IGFBP4",0,0.66146950607748,0.722,0.39,0,"0","IGFBP4"
"CCDC80",0,0.63632717633283,0.659,0.314,0,"0","CCDC80"
"THBS2",0,0.625794383664332,0.613,0.234,0,"0","THBS2"
"SERPINF1",0,0.620613846047666,0.809,0.5,0,"0","SERPINF1"
"SFRP2",0,0.61928544862155,0.502,0.198,0,"0","SFRP2"
"CST3",0,0.599556756809006,0.953,0.799,0,"0","CST3"
"C1S",0,0.562178586451194,0.861,0.622,0,"0","C1S"
"CTHRC1",0,0.545863192272015,0.518,0.158,0,"0","CTHRC1"
"PCOLCE",0,0.527632246127248,0.628,0.312,0,"0","PCOLCE"
"PTGIS",0,0.51825227584854,0.496,0.144,0,"0","PTGIS"
"CD99",0,0.499868918543592,0.819,0.57,0,"0","CD99"
"LOX",0,0.491364759308809,0.483,0.158,0,"0","LOX"
"S100A6",0,0.469712089156851,0.99,0.91,0,"0","S100A6"
"IGFBP6",0,0.458020328224954,0.445,0.157,0,"0","IGFBP6"
"MFAP4",0,0.448816077147859,0.524,0.232,0,"0","MFAP4"
"LRP1",0,0.433223587614185,0.625,0.313,0,"0","LRP1"
"ISLR",0,0.411996695767489,0.449,0.153,0,"0","ISLR"
"TWIST2",0,0.411988532163478,0.472,0.192,0,"0","TWIST2"
"AOX1",0,0.339919879726392,0.354,0.105,0,"0","AOX1"
"ACKR3",0,0.299967974052676,0.285,0.07,0,"0","ACKR3"
"SEMA3C",2.33067598399412e-307,0.391143378442795,0.447,0.174,3.78431859521125e-303,"0","SEMA3C"
"RNASE1",4.46657702503092e-305,0.565730681119147,0.684,0.394,7.25238111554271e-301,"0","RNASE1"
"C3",3.71530500101834e-303,0.596526368812691,0.798,0.521,6.03254073015347e-299,"0","C3"
"CD55",1.18163996395114e-301,0.38770477456909,0.437,0.171,1.91862880946746e-297,"0","CD55"
"MRC2",1.07435632372965e-300,0.38499558178426,0.455,0.185,1.74443236283983e-296,"0","MRC2"
"CPXM1",2.15854180394656e-299,0.345009251364525,0.334,0.105,3.50482432706804e-295,"0","CPXM1"
"CXCL12",7.69535771817482e-297,0.492886556532567,0.826,0.532,1.24949523270005e-292,"0","CXCL12"
"CFD",1.99941656865098e-289,0.697312264760432,0.777,0.53,3.24645268251859e-285,"0","CFD"
"COL6A3",7.32401644860815e-289,0.513741382361869,0.72,0.452,1.1892005507605e-284,"0","COL6A3"
"ANGPTL2",3.778598496709e-287,0.375309201470679,0.458,0.192,6.13531037910641e-283,"0","ANGPTL2"
"COL5A1",7.71270264703592e-285,0.415167331551548,0.476,0.209,1.25231152879922e-280,"0","COL5A1"
"CD248",1.24297062529211e-283,0.374393500891705,0.436,0.177,2.01821140428679e-279,"0","CD248"
"C1QC",1.18679304483885e-281,0.593259619071692,0.786,0.534,1.92699586690485e-277,"0","C1QC"
"ECM1",3.54687566265338e-278,0.31680605666576,0.384,0.14,5.75906201345029e-274,"0","ECM1"
"THY1",8.05505645045292e-278,0.412593393451562,0.571,0.279,1.30789951586004e-273,"0","THY1"
"PMP22",1.02156996383328e-274,0.356899473819168,0.497,0.222,1.6587231502761e-270,"0","PMP22"
"ADAMTS5",2.52907733749863e-274,0.350361169678607,0.37,0.135,4.10646287289652e-270,"0","ADAMTS5"
"SPARC",1.47421302477587e-273,0.790721963531147,0.94,0.794,2.39367968832858e-269,"0","SPARC"
"SLIT3",7.51367995448823e-269,0.417507113348189,0.509,0.241,1.21999621421025e-264,"0","SLIT3"
"SCARA5",1.23275860398012e-265,0.290831637808272,0.306,0.096,2.00163014528251e-261,"0","SCARA5"
"ELN",3.4476745193408e-264,0.377738530110704,0.361,0.132,5.59798911705366e-260,"0","ELN"
"NNMT",1.03644876289447e-262,0.442472299945726,0.562,0.298,1.68288185631175e-258,"0","NNMT"
"PODN",9.13192843187494e-256,0.315030173432929,0.39,0.152,1.48275121948353e-251,"0","PODN"
"SVEP1",2.02002197253968e-253,0.3323488061189,0.345,0.125,3.27990967681267e-249,"0","SVEP1"
"PLPP3",5.23474965079367e-240,0.40854420131169,0.495,0.247,8.49966300799369e-236,"0","PLPP3"
